trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
259,False,"{'a': 0.6, 'e': 0.02085836942521473}",35,25,19.312450019420837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.6, 'e': 0.0205478287614305}",35,23,22.236994980672087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.6, 'e': 0.020241911445804395}",25,14,9.218681969026779,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.6, 'e': 0.0199405486456498}",20,12,14.947961304510125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.6, 'e': 0.019643672553065303}",25,12,19.359578038032623,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.6, 'e': 0.019351216369677605}",20,7,21.229413538576072,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.6, 'e': 0.01906311429161164}",30,19,23.474287179000626,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.6, 'e': 0.018779301494684413}",20,4,-26.08408138609144,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
267,False,"{'a': 0.6, 'e': 0.018499714119819252}",30,23,13.111964775856709,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.6, 'e': 0.018224289258677306}",20,8,21.622568625193875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.6, 'e': 0.01795296493950287}",20,2,28.563386270162933,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.6, 'e': 0.01768568011317944}",20,13,10.96457018535621,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.6, 'e': 0.017422374639493518}",35,6,45.27632455785056,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.6, 'e': 0.017162989273602675}",25,0,23.873042281930758,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.6, 'e': 0.016907465652705282}",20,14,5.543923671625627,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.6, 'e': 0.016655746282908668}",20,10,18.34339836986842,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.6, 'e': 0.016407774526292662}",25,3,33.87648096799211,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.6, 'e': 0.016163494588165878}",30,16,26.076529656614202,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.6, 'e': 0.0159228515045117}",20,11,17.398515417904743,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.6, 'e': 0.015685791129621058}",30,17,25.217215152340216,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.6, 'e': 0.015452260123909519}",20,0,32.387656061563945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
